	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
l̥ʰ	-	-	+	+	-	-	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
l̪ʰ	-	+	+	+	-	+	-	+	-	-	+	+	n	-	-	+	+	-	-	-	+	-	-
lʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
l̟ʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
l̟ʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
l̪ʲ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
lɥ	-	+	+	+	-	+	-	+	-	-	-	.	n	+	-	+	+	-	+	+	-	-	-
lʷ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
lʼ	-	+	+	+	-	+	+	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
lʼ	-	+	+	+	-	+	+	+	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
l̪ʼ	-	+	+	+	-	+	+	+	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
l̪ʼ	-	+	+	+	-	+	+	+	-	-	-	+	n	-	-	+	+	-	-	-	+	-	-
lˤ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
l̪ˤ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
l̪ˤ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
l̪ˤː	-	+	+	+	-	+	-	+	-	-	-	.	n	-	+	+	+	+	-	-	+	+	-
lǃ	-	-	+	-	-	+	-	+	-	-	-	n	n	+	-	+	+	+	-	-	-	-	-
l̪θ	-	.	+	.	-	.	-	+	-	.	-	.	n	-	-	+	+	-	-	-	+	-	-
