	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
a	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ă	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	+
ã	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ã	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
a̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
a̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̠	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
a̤	+	+	-	+	+	+	-	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ã̤	+	+	-	+	+	+	-	n	+	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ḁ	+	-	-	+	+	-	-	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
a̰	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a+	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
aː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
aː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
ãː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	+	-
a̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
a̪ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
a̰ː	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
aːː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	+
æ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	-	-
æ̃	+	+	-	+	+	+	-	n	+	-	-	+	+	-	+	-	-	-	-	-	n	-	-
æ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	-	-	-	n	-	-
æː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	+	-
æː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	-	-	-	n	+	-
ai	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	.	-	-	n	+	-
ai̯	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	.	-	-	n	+	-
aɪ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	.	-	-	.	-	-	n	+	-
aj	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	-	-	n	+	-
ãⁿ	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ao	+	+	-	+	+	+	-	n	-	-	-	+	+	-	.	-	-	+	.	-	n	+	-
au	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	.	-	n	+	-
aʉ	+	+	-	+	+	+	-	n	-	-	-	+	+	.	.	-	-	+	.	-	n	+	-
aʊ	+	+	-	+	+	+	-	n	-	-	-	-	-	.	.	-	-	+	.	-	n	+	-
aʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ãʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ãʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̤ʔ	+	+	-	+	+	+	+	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ã̤ʔ	+	+	-	+	+	+	+	n	+	-	+	-	-	-	+	-	-	+	-	-	n	-	-
aʔa	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ãʔã	+	+	-	+	+	+	+	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
aˤ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ãˤ	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̤ˤ	+	+	-	+	+	+	-	n	-	-	+	-	-	-	+	-	-	+	-	-	n	-	-
ã̤ˤ	+	+	-	+	+	+	-	n	+	-	+	-	-	-	+	-	-	+	-	-	n	-	-
aˤʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ɐ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
ɐː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
ɑ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ɑ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ɑː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
ɑː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
ɒ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	+	+	n	-	-
ɒː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	+	+	n	+	-
b	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
b̀	-	-	+	-	-	+	-	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
b̂	-	-	+	-	-	+	-	n	-	-	-	-	n	-	-	+	-	-	-	+	+	-	-
b̏	-	-	+	-	-	+	-	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
b̥	-	-	+	-	-	-	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
b*	-	-	+	-	-	+	-	n	-	-	-	-	n	-	-	+	-	-	-	+	+	-	-
bː	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	+	-
b͡ç	-	-	+	-	-	.	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
b͡d	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
b͡dz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
b͡dʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	.	-	-	-	.	-	-
b͡ɗ	-	-	+	-	-	+	+	-	-	+	-	+	n	-	-	+	.	-	-	.	.	-	-
b͡ɡ	-	-	+	-	-	+	-	n	-	-	-	.	n	.	-	.	-	.	-	.	.	-	-
bʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	-	-	+	-	-	-	+	+	-	-
bʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	-	-	+	-	-	-	+	+	-	-
bʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	-	-	+	+	-	-
bʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	-	-	+	+	-	-
bʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	-	-	+	+	-	-
b͡ʝ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
bˡ	-	-	+	-	-	+	-	+	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
bɮ	-	-	+	-	-	+	-	+	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
b͡tʃ	-	-	+	-	-	.	-	-	-	+	-	.	n	.	-	-	.	-	-	-	.	-	-
bv	-	-	+	-	-	+	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
bʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	+	-	-	+	+	+	-	-
bz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
bz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
bʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	.	-	-	-	+	-	-
bʼ	-	-	+	-	-	+	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
bʼ	-	-	+	-	-	+	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
bˤ	-	-	+	-	-	+	-	n	-	-	-	.	n	-	+	+	-	+	-	+	+	-	-
ɓ	-	-	+	-	-	+	+	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ɓ̥	-	-	+	-	-	-	+	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
ɓ̥ˠ	-	-	+	-	-	-	+	n	-	-	-	.	n	+	-	+	-	+	-	+	+	-	-
ɓʷ	-	-	+	-	-	+	+	n	-	-	-	.	n	-	-	+	-	-	+	+	+	-	-
c	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ç	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
cç	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	.	-	-
cçʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
cçʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
cçʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
cɕ	-	-	+	-	-	-	-	-	-	-	-	.	n	+	-	-	.	-	-	-	+	-	-
c̀ɕ	-	-	+	-	-	-	-	-	-	-	-	+	n	+	-	-	.	-	-	-	+	-	-
cɕʰ	-	-	+	-	-	-	-	-	-	-	+	+	n	+	-	-	.	-	-	-	+	-	-
cɕʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	.	-	-	-	+	-	-
cɕʼ	-	-	+	-	-	-	+	-	-	-	-	+	n	+	-	-	.	-	-	-	+	-	-
cʰ	-	-	+	-	-	-	-	n	-	-	+	+	n	+	-	-	-	-	-	-	.	-	-
cʃ	-	-	+	-	-	-	-	-	-	+	-	.	n	+	-	-	.	-	-	-	+	-	-
cʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
çʷ	-	-	+	-	+	-	-	n	-	-	-	.	n	+	-	-	-	-	+	+	.	-	-
cʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
cʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
cˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	+	-	-	+	-	-	.	-	-
c	-	-	+	-	-	-	-	n	+	-	-	.	n	+	-	-	-	-	-	-	.	-	-
ɕ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
ɕʰ	-	-	+	-	+	-	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
ɕɥ	-	-	+	-	+	-	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
d	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
d̀	-	-	+	-	-	+	-	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
d̂	-	-	+	-	-	+	-	-	-	-	-	-	n	-	-	+	+	-	-	-	-	-	-
d̏	-	-	+	-	-	+	-	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
d̥	-	-	+	-	-	-	-	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
d̪	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
d̻	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
ð	-	-	+	-	+	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
d̪ː	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	+	+	-
dːʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	+	-
dð	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
d̪ð	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
dˠ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	+	-	-	-	-	-
ðˠ	-	-	+	-	+	+	-	-	-	-	-	.	n	+	-	+	+	+	-	-	.	-	-
dɣw	-	-	+	-	-	+	-	-	-	-	-	.	n	.	-	.	.	.	+	+	.	-	-
dʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
dʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	-	-	-
d̪ʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	+	+	-	-	-	+	-	-
dʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
dʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
dʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	-	-	-
d̪ʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	+	-	-
ðʲ	-	-	+	-	+	+	-	-	-	-	-	.	n	+	-	+	+	-	-	-	.	-	-
dʝ	-	-	+	-	-	+	-	-	-	-	-	.	n	.	-	-	.	-	-	-	.	-	-
dl	-	-	+	-	-	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ðn	-	-	+	.	+	-	-	-	+	-	-	-	n	-	-	+	+	-	-	-	.	-	-
dʷ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
dx	-	-	+	-	-	.	-	-	-	-	-	.	n	.	.	.	.	.	-	-	.	-	-
dz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	-	-	-
d̪z̪	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	-	-	+	-	-
dzɣw	-	-	+	-	-	+	-	-	-	.	-	.	n	.	-	+	.	.	+	.	.	-	-
dzʰ	-	-	+	-	-	+	-	-	-	+	+	+	n	-	-	+	+	-	-	-	-	-	-
dzʲ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	-	-	-
d̪z̪ʲ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	+	+	-	-	-	+	-	-
dzʷ	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	+	+	-	-	-
d̪z̪ʷ	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	+	-	+	+	+	-	-
dzx	-	-	+	-	-	.	-	-	-	.	-	.	n	.	-	+	.	.	-	-	.	-	-
dzʼ	-	-	+	-	-	+	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
dzʼ	-	-	+	-	-	+	+	-	-	+	-	+	n	-	-	+	+	-	-	-	-	-	-
dzʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
dzʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
dʐ	-	-	+	-	-	+	-	.	-	+	-	.	n	.	.	-	+	.	-	-	-	-	-
dʑ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
d̻ʑ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	+	-	-	-	+	-	-
dʑɥ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
dʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
d̪ʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	.	.	-	-	-	+	-	-
d̻ʒ̻	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	+	-	-	-	+	-	-
dʒ͡ɡ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	.	-	-	+	-	-
dʒ͡ɣʷ	-	-	+	-	-	+	-	-	-	.	-	.	n	+	-	-	+	.	+	+	+	-	-
dʒʰ	-	-	+	-	-	+	-	-	-	+	+	+	n	+	-	-	+	-	-	-	+	-	-
dʒʲ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	-	-	+	-	-
dʒʷ	-	-	+	-	-	+	-	-	-	+	-	.	n	+	-	-	+	-	+	+	+	-	-
dʼ	-	-	+	-	-	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
dʼ	-	-	+	-	-	+	+	-	-	-	-	+	n	-	-	+	+	-	-	-	-	-	-
dʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
dʼkxʼ	-	-	+	-	-	.	+	-	-	.	-	+	n	.	-	+	.	.	-	-	.	-	-
dˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
dˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
dˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	-	-	-
d̪ˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
d̪ˤ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	-	-
ðˤ	-	-	+	-	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	.	-	-
ðˤ	-	-	+	-	+	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	.	-	-
d̪ˤː	-	-	+	-	-	+	-	-	-	-	-	.	n	-	+	+	+	+	-	-	+	+	-
dβ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
ɖ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖ˞	-	-	+	-	-	-	+	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ɖʰ	-	-	+	-	-	+	-	-	-	-	+	+	n	-	-	-	+	-	-	-	-	-	-
ɖʲ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖɽ	-	-	+	-	-	+	-	-	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɖʐ	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	-	+	-	-	-	-	-	-
ɗ	-	-	+	-	-	+	+	-	-	-	-	.	n	-	-	+	+	-	-	-	-	-	-
ɗ̪	-	-	+	-	-	+	+	-	-	-	-	.	n	-	-	+	+	-	-	-	+	-	-
ɗʷ	-	-	+	-	-	+	+	-	-	-	-	.	n	-	-	+	+	-	+	+	-	-	-
ɗʒ	-	-	+	-	-	+	+	-	-	+	-	+	n	+	-	-	+	-	-	-	+	-	-
e	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ẽ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ẽ̝	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
e̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
e̞	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̤	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	-	-
e̤	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	-	-
ẽ̤	+	+	-	+	+	+	-	n	+	-	+	+	+	-	-	-	-	-	-	-	n	-	-
e̥	+	-	-	+	+	-	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	-	-
e̯	-	-	-	+	+	+	-	n	-	-	-	.	n	-	-	-	-	-	-	-	.	-	-
eː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	-
eː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	-
ẽː	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	+	-
e̝ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	-
e̤ː	+	+	-	+	+	+	-	n	-	-	+	+	+	-	-	-	-	-	-	-	n	+	-
eːː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	+	+
e̯a	+	+	-	+	+	+	-	n	-	-	-	+	+	-	.	-	-	.	-	-	n	+	-
eə	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	-	-	n	+	-
ei	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
eɪ	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
ej	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	-	-	-	n	+	-
emf	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ẽⁿ	+	+	-	+	+	+	-	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
e̯o	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	.	-	n	+	-
eu	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	.	-	n	+	-
eʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
eʔe	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ẽʔẽ	+	+	-	+	+	+	+	n	+	-	-	+	+	-	-	-	-	-	-	-	n	-	-
eˤ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	-	-
ə	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ə̆	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	+
ə̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ə̝	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	-	-
ə̟	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ə˞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	+	+	-	-	n	-	-
əː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
əː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ə̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	+	-	-	n	+	-
əe	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	.	-	-	n	+	-
əi	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	-	-	n	+	-
ə̯i	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	.	-	-	n	+	-
əo	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	.	-	n	+	-
əu	+	+	-	+	+	+	-	n	-	-	-	+	+	.	-	-	-	+	.	-	n	+	-
əˤ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
ɛ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̃	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̘	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	-	-	-	n	-	-
ɛ̞	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̥	+	-	-	+	+	-	-	n	-	-	+	-	-	-	-	-	-	-	-	-	n	-	-
ɛː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɛː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɛ̃ː	+	+	-	+	+	+	-	n	+	-	-	-	-	-	-	-	-	-	-	-	n	+	-
ɛi̯	+	+	-	+	+	+	-	n	-	-	-	-	-	.	-	-	-	.	-	-	n	+	-
ɛʔ	+	+	-	+	+	+	+	n	-	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɛ̃ʔ	+	+	-	+	+	+	+	n	+	-	-	-	-	-	-	-	-	-	-	-	n	-	-
ɜ	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	-	-
ɜː	+	+	-	+	+	+	-	n	-	-	-	-	-	-	-	-	-	+	-	-	n	+	-
ɤ	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	-	-
ɤː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	+	-
ɤː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	-	-	-	+	-	-	n	+	-
f	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
fː	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	+	-
fː	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	+	-
fʲ	-	-	+	-	+	-	-	n	-	+	-	.	n	+	-	+	-	-	-	+	-	-	-
fʲ	-	-	+	-	+	-	-	n	-	+	-	.	n	+	-	+	-	-	-	+	-	-	-
fˡ	-	-	+	-	+	-	-	+	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
fʃ	-	-	+	-	+	-	-	-	-	+	-	.	n	.	-	-	.	-	-	-	+	-	-
fʷ	-	-	+	-	+	-	-	n	-	+	-	.	n	-	-	+	-	-	+	+	-	-	-
fʼ	-	-	+	-	+	-	+	n	-	+	-	+	n	-	-	+	-	-	-	+	-	-	-
fʼ	-	-	+	-	+	-	+	n	-	+	-	+	n	-	-	+	-	-	-	+	-	-	-
fˤ	-	-	+	-	+	-	-	n	-	+	-	.	n	-	+	+	-	+	-	+	-	-	-
ɡ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɡ̂	-	-	+	-	-	+	-	n	-	-	-	-	n	+	-	-	-	+	-	-	.	-	-
ɡ̥	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	-	-
ɡː	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
ɡ̂͡b̂	-	-	+	-	-	+	-	n	-	-	-	-	n	+	-	+	-	+	-	+	.	-	-
ɡ͡b	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ɡ͡bʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
ɡ͡bʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	+	+	+	.	-	-
