	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
ɡʲ	-	+	+	+	-	-	-	.	+	+	-	+	-	-	-
ɡkx’	-	+	.	.	+	-	-	.	+	-	-	+	-	-	-
ɡkx’	-	+	+	.	+	-	-	.	+	-	-	+	-	-	-
ɡ͡p	-	+	+	.	-	-	-	.	-	-	-	+	-	-	-
ɡʷ	-	+	+	+	-	-	-	.	+	-	-	+	+	-	-
ɡʷː	-	+	+	+	-	-	-	.	+	-	-	+	+	+	-
ɡˤ	-	+	+	+	-	-	-	.	+	-	-	+	+	-	-
ɡǀ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǀ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǀ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǀʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
ɡǀkx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǀx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǁ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǁ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǁʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
ɡǁkx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǁx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǂ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɡǂ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɡǂʰ	-	+	+	+	-	-	-	+	+	-	-	-	-	-	-
ɡǂkx	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɡǂx	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
ɡǃ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǃ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǃʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
ɡǃkx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡǃx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɡʘ	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
ɡʘʰ	-	+	+	+	-	-	-	+	-	-	+	+	-	-	-
ɡʘkx	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
ɡʘx	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
ɢ	-	+	+	+	-	-	+	.	+	-	-	+	-	-	-
ɢˤ	-	+	+	+	-	-	+	.	+	-	-	+	+	-	-
ɠ	-	+	+	+	-	-	-	.	+	-	-	+	-	-	-
ɠ̥	-	+	+	-	-	-	-	.	+	-	-	+	-	-	-
ɠ͡ɓ	-	+	+	+	-	-	-	.	-	-	-	+	-	-	-
ɠʲ	-	+	+	+	-	-	-	.	+	+	-	+	-	-	-
ɠʷ	-	+	+	+	-	-	-	.	+	-	-	+	+	-	-
ʛ	-	+	+	+	-	-	+	.	+	-	-	+	-	-	-
ɣ	-	+	-	+	-	-	-	.	+	-	-	+	-	-	-
ɣ̀	-	+	-	+	-	-	-	+	+	-	-	+	-	-	-
ɣː	-	+	-	+	-	-	-	.	+	-	-	+	-	+	-
ɣʰ	-	+	-	+	-	-	-	+	+	-	-	+	-	-	-
ɣʲ	-	+	-	+	-	-	-	.	+	+	-	+	-	-	-
ɣʷ	-	+	-	+	-	-	-	.	+	-	-	+	+	-	-
ɣʼ	-	+	-	+	+	-	-	.	+	-	-	+	-	-	-
ɣʼ	-	+	-	+	+	-	-	.	+	-	-	+	-	-	-
ɣ͡β	-	+	-	+	-	-	-	.	-	-	-	+	-	-	-
h	-	-	-	-	-	-	-	+	.	-	.	.	-	-	-
h̃	-	-	-	-	-	+	-	+	.	-	.	.	-	-	-
ħ	-	+	-	-	-	-	-	.	.	-	.	.	-	-	-
hʲ	-	-	-	-	-	-	-	+	.	+	.	.	-	-	-
hʷ	-	-	-	-	-	-	-	+	.	-	.	.	+	-	-
ħʷ	-	+	-	-	-	-	-	.	.	-	.	.	+	-	-
hʷː	-	-	-	-	-	-	-	+	.	-	.	.	+	+	-
hˤ	-	-	-	-	-	-	-	+	.	-	.	.	+	-	-
ɦ	-	-	-	+	-	-	-	+	.	-	.	.	-	-	-
ɦ̃	-	-	-	+	-	+	-	+	.	-	.	.	-	-	-
ɦʲ	-	-	-	+	-	-	-	+	.	+	.	.	-	-	-
ɦʷ	-	-	-	+	-	-	-	+	.	-	.	.	+	-	-
i	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
ĩ	+	-	-	+	-	+	-	+	-	-	+	-	-	-	-
i̝	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
